阿巴卡韋	aa[ek ba[ku ka[ub ww[hh
阿巴卡韋雙夫定	aa[ek ba[ku ka[ub ww[hh ul[yy fu[er dk[gp
阿巴卡韋雙夫定片	aa[ek ba[ku ka[ub ww[hh ul[yy fu[er dk[gp pm[pu
阿貝奇諾	aa[ek bw[kr qi[dk no[yc
阿貝他	aa[ek bw[kr ta[ry
阿苯	aa[ek bf[ca
阿苯達唑	aa[ek bf[ca da[dz zo[kr
阿苯達唑幹糖漿	aa[ek bf[ca da[dz zo[kr gj[hu th[mg jl[du
阿苯達唑膠囊	aa[ek bf[ca da[dz zo[kr jn[ol nh[hk
阿苯達唑咀嚼片	aa[ek bf[ca da[dz zo[kr ju[kq jt[ka pm[pu
阿苯達唑顆粒	aa[ek bf[ca da[dz zo[kr ke[oy li[ml
阿苯達唑口服乳劑	aa[ek bf[ca da[dz zo[kr kz[uv fu[oe ru[av ji[wd
阿苯達唑片	aa[ek bf[ca da[dz zo[kr pm[pu
阿苯達唑糖丸	aa[ek bf[ca da[dz zo[kr th[mg wj[jd
阿苯片	aa[ek bf[ca pm[pu
阿苯糖丸	aa[ek bf[ca th[mg wj[jd
阿比多爾	aa[ek bi[bb do[xx er[dx
阿比多爾片	aa[ek bi[bb do[xx er[dx pm[pu
阿丙條	aa[ek bk[hk tn[wa
阿醋美沙朵	aa[ek cu[yg mw[bw ua[dx do[ja
阿達帕林	aa[ek da[dz pa[jb lb[aa
阿達帕林凝膠	aa[ek da[dz pa[jb lb[aa nk[db jn[ol
阿德福韋酯	aa[ek de[ru fu[uh ww[hh vi[yb
阿德福韋酯膠囊	aa[ek de[ru fu[uh ww[hh vi[yb jn[ol nh[hk
阿德福韋酯片	aa[ek de[ru fu[uh ww[hh vi[yb pm[pu
阿德福韋酯片代丁	aa[ek de[ru fu[uh ww[hh vi[yb pm[pu dd[rq dk[hu
阿地芬寧	aa[ek di[ty ff[cf nk[gd
阿地碸鈉	aa[ek di[ty fg[ef na[jk
阿地肝素	aa[ek di[ty gj[og su[fy
吖啶	aa[kb dk[kg
吖啶橙	aa[kb dk[kg ig[ad
吖啶黃	aa[kb dk[kg hl[gy
吖啶黃吖啶黃素原頂體	aa[kb dk[kg hl[gy aa[kb dk[kg hl[gy su[fy yr[ib dk[dy ti[ra
吖啶黃素	aa[kb dk[kg hl[gy su[fy
吖啶類生物鹼	aa[kb dk[kg lw[md ug[pf wu[nb jm[ew
吖啶燃料	aa[kb dk[kg rj[hx ln[md
阿竇	aa[ek dz[xu
阿端	aa[ek dr[lu
阿多停	aa[ek do[xx tk[rw
阿爾馬爾	aa[ek er[dx ma[vv er[dx
阿爾治	aa[ek er[dx vi[ds
阿法迪三軟膠囊	aa[ek fa[dt di[yz sj[hh rr[id jn[ol nh[hk
阿法多龍	aa[ek fa[dt do[xx ls[yp
阿法根	aa[ek fa[dt gf[ag
阿法骨化醇	aa[ek fa[dt gu[ko hx[rq iy[yw
阿法骨化醇膠囊	aa[ek fa[dt gu[ko hx[rq iy[yw jn[ol nh[hk
阿法骨化醇膠丸	aa[ek fa[dt gu[ko hx[rq iy[yw jn[ol wj[jd
阿法骨化醇片	aa[ek fa[dt gu[ko hx[rq iy[yw pm[pu
阿法骨化醇軟膠囊	aa[ek fa[dt gu[ko hx[rq iy[yw rr[id jn[ol nh[hk
阿法甲基芬太尼	aa[ek fa[dt jx[ou ji[qt ff[cf td[dd ni[ub
阿法甲基硫代芬太尼	aa[ek fa[dt jx[ou ji[qt lq[ew dd[rq ff[cf td[dd ni[ub
阿法羅定	aa[ek fa[dt lo[sx dk[gp
阿法羅定注射液	aa[ek fa[dt lo[sx dk[gp vu[dd ue[uc ye[dw
阿法美羅定	aa[ek fa[dt mw[bw lo[sx dk[gp
阿法美沙朵	aa[ek fa[dt mw[bw ua[dx do[ja
阿法沙龍	aa[ek fa[dt ua[dx ls[yp
阿法雙酮	aa[ek fa[dt ul[yy ts[yk
阿伐斯汀	aa[ek fa[rg si[qj tk[dd
阿酚咖	aa[ek ff[yf ka[kl
阿酚咖敏	aa[ek ff[yf ka[kl mb[rw
阿酚咖敏片	aa[ek ff[yf ka[kl mb[rw pm[pu
阿酚咖片	aa[ek ff[yf ka[kl pm[pu
阿芬太尼	aa[ek ff[cf td[dd ni[ub
阿佛菌素來自除蟲鏈黴素	aa[ek fo[rf jy[cw su[fy ld[hm zi[pm iu[er is[ks lm[ji mw[yr su[fy
阿弗他潰瘍	aa[ek fu[gp ta[ry kv[dv yh[bv
阿呋唑嗪	aa[ek fu[ke zo[kr qb[ks
阿夫唑嗪	aa[ek fu[er zo[kr qb[ks
阿呋唑嗪片	aa[ek fu[ke zo[kr qb[ks pm[pu
阿根廷鹼	aa[ek gf[ag tk[qj jm[ew
阿歸養血	aa[ek gv[ux yh[yp xt[pm
阿歸養血顆粒	aa[ek gv[ux yh[yp xt[pm ke[oy li[ml
阿歸養血口服液	aa[ek gv[ux yh[yp xt[pm kz[uv fu[oe ye[dw
阿歸養血糖漿	aa[ek gv[ux yh[yp xt[pm th[mg jl[du
阿黑皮原	aa[ek hw[sd pi[vp yr[ib
阿加曲班	aa[ek jx[lk qu[ou bj[wd
阿加曲班注射液	aa[ek jx[lk qu[ou bj[wd vu[dd ue[uc ye[dw
阿桔	aa[ek ju[au
阿桔片	aa[ek ju[au pm[pu
阿咖	aa[ek ka[kl
阿卡波糖	aa[ek ka[ub bo[dp th[mg
阿卡波糖膠囊	aa[ek ka[ub bo[dp th[mg jn[ol nh[hk
阿卡波糖片	aa[ek ka[ub bo[dp th[mg pm[pu
阿咖酚	aa[ek ka[kl ff[yf
阿咖酚膠囊	aa[ek ka[kl ff[yf jn[ol nh[hk
阿咖酚散	aa[ek ka[kl ff[yf sj[gw
阿咖敏	aa[ek ka[kl mb[rw
阿咖片	aa[ek ka[kl pm[pu
阿可達	aa[ek ke[dk da[dz
阿克卡環	aa[ek ke[ge ka[ub hr[wb
阿克拉黴素	aa[ek ke[ge la[fl mw[yr su[fy
阿克他利	aa[ek ke[ge ta[ry li[hd
阿克他利片	aa[ek ke[ge ta[ry li[hd pm[pu
阿殼西	aa[ek ke[ug xi[hk
阿庫氯銨	aa[ek ku[gi lv[qx an[jg
阿枯米辛鹼	aa[ek ku[ag mi[ba xb[lu jm[ew
阿枯片	aa[ek ku[ag pm[pu
阿拉伯吡喃糖	aa[ek la[fl bo[rb bi[kb nj[ku th[mg
阿拉伯呋喃糖	aa[ek la[fl bo[rb fu[ke nj[ku th[mg
阿拉伯膠	aa[ek la[fl bo[rb jn[ol
阿拉伯木聚糖	aa[ek la[fl bo[rb mu[ub ju[ep th[mg
阿拉伯樹膠	aa[ek la[fl bo[rb uu[ay jn[ol
阿拉伯酸	aa[ek la[fl bo[rb sr[ys
阿拉伯糖	aa[ek la[fl bo[rb th[mg
阿拉伯糖胺醇	aa[ek la[fl bo[rb th[mg an[og iy[yw
阿拉伯糖基葡糖苷	aa[ek la[fl bo[rb th[mg ji[qt pu[cb th[mg gj[cg
阿拉伯糖酸	aa[ek la[fl bo[rb th[mg sr[ys
阿拉伯酮糖	aa[ek la[fl bo[rb ts[yk th[mg
阿拉普利	aa[ek la[fl pu[bo li[hd
阿拉瑞林	aa[ek la[fl rv[wu lb[aa
阿拉坦五味	aa[ek la[fl tj[to wu[hu ww[kh
阿拉坦五味丸	aa[ek la[fl tj[to wu[hu ww[kh wj[jd
阿樂	aa[ek le[px
阿樂邁	aa[ek le[px md[wz
阿樂欣	aa[ek le[px xb[jd
阿里紅咳喘	aa[ek li[ot hs[sg ke[kw ir[ku
阿里紅咳喘口服液	aa[ek li[ot hs[sg ke[kw ir[ku kz[uv fu[oe ye[dw
阿利馬嗪	aa[ek li[hd ma[vv qb[ks
阿立哌唑	aa[ek li[lh pd[kp zo[kr
阿立哌唑片	aa[ek li[lh pd[kp zo[kr pm[pu
阿利亞斯	aa[ek li[hd ya[hy si[qj
阿林新	aa[ek lb[aa xb[lj
阿侖膦酸	aa[ek ly[rb lb[om sr[ys
阿侖膦酸鈉	aa[ek ly[rb lb[om sr[ys na[jk
阿侖膦酸鈉片	aa[ek ly[rb lb[om sr[ys na[jk pm[pu
阿洛巴比妥	aa[ek lo[dw ba[ku bi[bb to[an
阿洛甲基糖	aa[ek lo[dw jx[ou ji[qt th[mg
阿羅洛爾	aa[ek lo[sx lo[dw er[dx
阿洛糖	aa[ek lo[dw th[mg
阿洛酮糖腺苷	aa[ek lo[dw ts[yk th[mg xm[ob gj[cg
阿洛西林	aa[ek lo[dw xi[hk lb[aa
阿洛西林鈉	aa[ek lo[dw xi[hk lb[aa na[jk
阿嗎靈	aa[ek ma[km lk[xh
阿美利啡	aa[ek mw[bw li[hd fw[kf
