阿巴嘎旗	aa[ek ba[ku ga[ke qi[fr
阿壩縣	aa[ek ba[tb xm[qs
阿壩藏族羌族自治州	aa[ek ba[tb zh[cw zu[fr ql[yv zu[fr zi[pm vi[ds vz[dp
阿城區	aa[ek ig[tw qu[ki
阿爾山市	aa[ek er[dx uj[uk ui[wj
阿合奇縣	aa[ek he[rh qi[dk xm[qs
阿克塞哈薩克族自治縣	aa[ek ke[ge sd[gt ha[kr sa[ce ke[ge zu[fr zi[pm vi[ds xm[qs
阿克蘇地區	aa[ek ke[ge su[cl di[ty qu[ki
阿克蘇市	aa[ek ke[ge su[cl ui[wj
阿克陶縣	aa[ek ke[ge tc[eb xm[qs
阿拉爾市	aa[ek la[fl er[dx ui[wj
阿拉山口市	aa[ek la[fl uj[uk kz[uv ui[wj
阿拉善盟	aa[ek la[fl uj[yk mg[om
阿拉善右旗	aa[ek la[fl uj[yk yz[uk qi[fr
阿拉善左旗	aa[ek la[fl uj[yk zo[ug qi[fr
阿勒泰地區	aa[ek le[gl td[su di[ty qu[ki
阿勒泰市	aa[ek le[gl td[su ui[wj
阿里地區	aa[ek li[ot di[ty qu[ki
阿魯科爾沁旗	aa[ek lu[yo ke[hd er[dx qb[dx qi[fr
阿榮旗	aa[ek rs[ca qi[fr
阿圖什市	aa[ek tu[ww ui[ru ui[wj
阿瓦提縣	aa[ek wa[hv ti[fo xm[qs
愛輝區	ai[au hv[xg qu[ki
愛民區	ai[au mb[kv qu[ki
安次區	an[gn ci[dd qu[ki
安達市	an[gn da[dz ui[wj
安定區	an[gn dk[gp qu[ki
安多縣	an[gn do[xx xm[qs
安福縣	an[gn fu[uh xm[qs
安國市	an[gn go[ww ui[wj
安化縣	an[gn hx[rq xm[qs
安徽省	an[gn hv[ru ug[xm
安吉縣	an[gn ji[uk xm[qs
安居區	an[gn ju[ug qu[ki
安康市	an[gn kh[gx ui[wj
安龍縣	an[gn ls[yp xm[qs
安陸市	an[gn lu[ef ui[wj
安寧區	an[gn nk[gd qu[ki
安寧市	an[gn nk[gd ui[wj
安平縣	an[gn pk[hb xm[qs
安慶市	an[gn qk[gd ui[wj
安丘市	an[gn qq[jh ui[wj
安仁縣	an[gn rf[re xm[qs
安塞區	an[gn sd[gt qu[ki
鞍山市	an[gg uj[uk ui[wj
安順市	an[gn uy[iy ui[wj
安圖縣	an[gn tu[ww xm[qs
安溪縣	an[gn xi[da xm[qs
安鄉縣	an[gn xl[sp xm[qs
安新縣	an[gn xb[lj xm[qs
安陽市	an[gn yh[eo ui[wj
安陽縣	an[gn yh[eo xm[qs
安義縣	an[gn yi[di xm[qs
安源區	an[gn yr[di qu[ki
安遠縣	an[gn yr[ez xm[qs
安嶽縣	an[gn yt[qu xm[qs
安澤縣	an[gn ze[dy xm[qs
安州區	an[gn vz[dp qu[ki
昂昂溪區	ah[op ah[op xi[da qu[ki
昂仁縣	ah[op rf[re xm[qs
敖漢旗	ao[fw hj[dy qi[fr
澳門特別行政區	ao[dp mf[du te[nt bp[kd xk[rh vg[hw qu[ki
八步區	ba[pd bu[vu qu[ki
巴楚縣	ba[ku iu[ap xm[qs
巴東縣	ba[ku ds[qx xm[qs
八公山區	ba[pd gs[bs uj[uk qu[ki
巴裡坤哈薩克自治縣	ba[ku li[ot ky[to ha[kr sa[ce ke[ge zi[pm vi[ds xm[qs
巴林右旗	ba[ku lb[aa yz[uk qi[fr
巴林左旗	ba[ku lb[aa zo[ug qi[fr
巴馬瑤族自治縣	ba[ku ma[vv yc[wa zu[fr zi[pm vi[ds xm[qs
巴南區	ba[ku nj[uk qu[ki
灞橋區	ba[dy qn[ap qu[ki
巴青縣	ba[ku qk[fo xm[qs
八宿縣	ba[pd su[gr xm[qs
巴塘縣	ba[ku th[tg xm[qs
巴彥淖爾市	ba[ku yj[lp nc[db er[dx ui[wj
巴彥縣	ba[ku yj[lp xm[qs
巴宜區	ba[ku yi[gq qu[ki
巴音郭楞蒙古自治州	ba[ku yb[lo go[we lg[as mg[ch gu[uk zi[pm vi[ds vz[dp
鮁魚圈區	ba[yu yu[dt qr[wb qu[ki
巴中市	ba[ku vs[ku ui[wj
巴州區	ba[ku vz[dp qu[ki
霸州市	ba[yg vz[dp ui[wj
白城市	bd[po ig[tw ui[wj
拜城縣	bd[fh ig[tw xm[qs
白河縣	bd[po he[dk xm[qs
白鹼灘區	bd[po jm[ew tj[dy qu[ki
白朗縣	bd[po lh[lo xm[qs
拜泉縣	bd[fh qr[bu xm[qs
百色市	bd[eo se[db ui[wj
白沙黎族自治縣	bd[po ua[dx li[hr zu[fr zi[pm vi[ds xm[qs
白山市	bd[po uj[uk ui[wj
白水縣	bd[po uv[uu xm[qs
白塔區	bd[po ta[tc qu[ki
柏鄉縣	bd[ab xl[sp xm[qs
白銀區	bd[po yb[jg qu[ki
白銀市	bd[po yb[jg ui[wj
白玉縣	bd[po yu[wd xm[qs
白雲鄂博礦區	bd[po yy[es ee[ke bo[uf kl[eg qu[ki
白雲區	bd[po yy[es qu[ki
班戈縣	bj[wd ge[qp xm[qs
班瑪縣	bj[wd ma[wm xm[qs
寶安區	bc[gw an[gn qu[ki
保德縣	bc[rk de[ru xm[qs
寶坻區	bc[gw di[tu qu[ki
保定市	bc[rk dk[gp ui[wj
寶豐縣	bc[gw fg[su xm[qs
包河區	bc[bk he[dk qu[ki
寶雞市	bc[gw ji[yn ui[wj
保靖縣	bc[rk jk[lf xm[qs
保康縣	bc[rk kh[gx xm[qs
寶清縣	bc[gw qk[df xm[qs
寶山區	bc[gw uj[uk qu[ki
保山市	bc[rk uj[uk ui[wj
寶塔區	bc[gw ta[tc qu[ki
保亭黎族苗族自治縣	bc[rk tk[wd li[hr zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
包頭市	bc[bk tz[dd ui[wj
寶興縣	bc[gw xk[xb xm[qs
寶應縣	bc[gw yk[gx xm[qs
北安市	bw[ub an[gn ui[wj
北碚區	bw[ub bw[el qu[ki
北辰區	bw[ub if[ie qu[ki
北川羌族自治縣	bw[ub ir[pu ql[yv zu[fr zi[pm vi[ds xm[qs
北戴河區	bw[ub dd[tt he[dk qu[ki
北關區	bw[ub gr[bt qu[ki
北海市	bw[ub hd[dr ui[wj
北湖區	bw[ub hu[dg qu[ki
北京市	bw[ub jk[wk ui[wj
北林區	bw[ub lb[aa qu[ki
碑林區	bw[eb lb[aa qu[ki
北流市	bw[ub lq[dw ui[wj
北侖區	bw[ub ly[rb qu[ki
北票市	bw[ub pn[xe ui[wj
北塔區	bw[ub ta[tc qu[ki
北屯市	bw[ub ty[hk ui[wj
北鎮市	bw[ub vf[ju ui[wj
本溪滿族自治縣	bf[ah xi[da mj[dc zu[fr zi[pm vi[ds xm[qs
本溪市	bf[ah xi[da ui[wj
蚌埠市	bg[if bu[tp ui[wj
蚌山區	bg[if uj[uk qu[ki
碧江區	bi[we jl[dg qu[ki
畢節市	bi[bu jp[ce ui[wj
比如縣	bi[bb ru[nk xm[qs
璧山區	bi[uw uj[uk qu[ki
泌陽縣	bi[dx yh[eo xm[qs
邊壩縣	bm[lz ba[tb xm[qs
濱城區	bb[dg ig[tw qu[ki
賓川縣	bb[gq ir[pu xm[qs
濱海縣	bb[dg hd[dr xm[qs
濱海新區	bb[dg hd[dr xb[lj qu[ki
濱湖區	bb[dg hu[dg qu[ki
濱江區	bb[dg jl[dg qu[ki
賓縣	bb[gq xm[qs
賓陽縣	bb[gq yh[eo xm[qs
彬州市	bb[aa vz[dp ui[wj
濱州市	bb[dg vz[dp ui[wj
博愛縣	bo[uf ai[au xm[qs
博白縣	bo[uf bd[po xm[qs
博爾塔拉蒙古自治州	bo[uf er[dx ta[tc la[fl mg[ch gu[uk zi[pm vi[ds vz[dp
博湖縣	bo[uf hu[dg xm[qs
博樂市	bo[uf le[px ui[wj
勃利縣	bo[ul li[hd xm[qs
博羅縣	bo[uf lo[sx xm[qs
波密縣	bo[dp mi[gu xm[qs
博山區	bo[uf uj[uk qu[ki
泊頭市	bo[db tz[dd ui[wj
博望區	bo[uf wh[ww qu[ki
博興縣	bo[uf xk[xb xm[qs
博野縣	bo[uf ye[oy xm[qs
播州區	bo[fp vz[dp qu[ki
亳州市	bo[wp vz[dp ui[wj
布爾津縣	bu[uj er[dx jb[dy xm[qs
布拖縣	bu[uj to[fr xm[qs
蔡甸區	cd[cx dm[bt qu[ki
蒼南縣	ch[cr nj[uk xm[qs
倉山區	ch[re uj[uk qu[ki
蒼梧縣	ch[cr wu[aw xm[qs
蒼溪縣	ch[cr xi[da xm[qs
滄縣	ch[dr xm[qs
滄源佤族自治縣	ch[dr yr[di wa[rw zu[fr zi[pm vi[ds xm[qs
滄州市	ch[dr vz[dp ui[wj
曹妃甸區	cc[ho fw[nk dm[bt qu[ki
曹縣	cc[ho xm[qs
冊亨縣	ce[kk hg[wl xm[qs
策勒縣	ce[vc le[gl xm[qs
岑鞏縣	cf[ur gs[gj xm[qs
岑溪市	cf[ur xi[da ui[wj
察布查爾錫伯自治縣	ia[gx bu[uj ia[ao er[dx xi[jo bo[rb zi[pm vi[ds xm[qs
察哈爾右翼後旗	ia[gx ha[kr er[dx yz[uk yi[xt hz[pk qi[fr
察哈爾右翼前旗	ia[gx ha[kr er[dx yz[uk yi[xt qm[bo qi[fr
察哈爾右翼中旗	ia[gx ha[kr er[dx yz[uk yi[xt vs[ku qi[fr
茶陵縣	ia[cr lk[et xm[qs
察雅縣	ia[gx ya[yv xm[qs
察隅縣	ia[gx yu[eo xm[qs
柴桑區	id[va sh[ya qu[ki
禪城區	ij[ub ig[tw qu[ki
瀍河回族區	ij[dg he[dk hv[wk zu[fr qu[ki
長安區	ih[ph an[gn qu[ki
長白朝鮮族自治縣	ih[ph bd[po ic[uo xm[yy zu[fr zi[pm vi[ds xm[qs
長春市	ih[ph iy[so ui[wj
常德市	ih[xk de[ru ui[wj
昌都市	ih[oo du[te ui[wj
長豐縣	ih[ph fg[su xm[qs
長葛市	ih[ph ge[co ui[wj
長海縣	ih[ph hd[dr xm[qs
昌吉回族自治州	ih[oo ji[uk hv[wk zu[fr zi[pm vi[ds vz[dp
昌吉市	ih[oo ji[uk ui[wj
昌江黎族自治縣	ih[oo jl[dg li[hr zu[fr zi[pm vi[ds xm[qs
昌江區	ih[oo jl[dg qu[ki
長樂區	ih[ph le[px qu[ki
昌樂縣	ih[oo le[px xm[qs
昌黎縣	ih[oo li[hr xm[qs
長嶺縣	ih[ph lk[ur xm[qs
長寧區	ih[ph nk[gd qu[ki
常寧市	ih[xk nk[gd ui[wj
昌寧縣	ih[oo nk[gd xm[qs
長寧縣	ih[ph nk[gd xm[qs
昌平區	ih[oo pk[hb qu[ki
長清區	ih[ph qk[df qu[ki
長沙市	ih[ph ua[dx ui[wj
長沙縣	ih[ph ua[dx xm[qs
常山縣	ih[xk uj[uk xm[qs
長壽區	ih[ph uz[fc qu[ki
常熟市	ih[xk uu[wd ui[wj
長順縣	ih[ph uy[iy xm[qs
長泰縣	ih[ph td[su xm[qs
長汀縣	ih[ph tk[dd xm[qs
昌圖縣	ih[oo tu[ww xm[qs
長武縣	ih[ph wu[hv xm[qs
長興縣	ih[ph xk[xb xm[qs
長陽土家族自治縣	ih[ph yh[eo tu[uh jx[gu zu[fr zi[pm vi[ds xm[qs
昌邑區	ih[oo yi[kb qu[ki
昌邑市	ih[oo yi[kb ui[wj
長垣市	ih[ph yr[th ui[wj
長治市	ih[ph vi[ds ui[wj
長洲區	ih[ph vz[dd qu[ki
常州市	ih[xk vz[dp ui[wj
潮安區	ic[du an[gn qu[ki
巢湖市	ic[vo hu[dg ui[wj
潮南區	ic[du nj[uk qu[ki
朝天區	ic[uo tm[hd qu[ki
朝陽區	ic[uo yh[eo qu[ki
潮陽區	ic[du yh[eo qu[ki
朝陽市	ic[uo yh[eo ui[wj
朝陽縣	ic[uo yh[eo xm[qs
潮州市	ic[du vz[dp ui[wj
陳巴爾虎旗	if[eq ba[ku er[dx hu[hj qi[fr
陳倉區	if[eq ch[re qu[ki
辰溪縣	if[ie xi[da xm[qs
郴州市	if[ae vz[dp ui[wj
成安縣	ig[wv an[gn xm[qs
城北區	ig[tw bw[ub qu[ki
城步苗族自治縣	ig[tw bu[vu mn[ct zu[fr zi[pm vi[ds xm[qs
澄城縣	ig[dd ig[tw xm[qs
承德市	ig[lu de[ru ui[wj
承德縣	ig[lu de[ru xm[qs
城東區	ig[tw ds[qx qu[ki
成都市	ig[wv du[te ui[wj
稱多縣	ig[hd do[xx xm[qs
呈貢區	ig[kw gs[gb qu[ki
城固縣	ig[tw gu[wg xm[qs
城關區	ig[tw gr[bt qu[ki
澄海區	ig[dd hd[dr qu[ki
成華區	ig[wv hx[ru qu[ki
澄江市	ig[dd jl[dg ui[wj
城口縣	ig[tw kz[uv xm[qs
澄邁縣	ig[dd md[wz xm[qs
城區	ig[tw qu[ki
成武縣	ig[wv wu[hv xm[qs
城西區	ig[tw xi[hk qu[ki
成縣	ig[wv xm[qs
城廂區	ig[tw xl[ia qu[ki
城陽區	ig[tw yh[eo qu[ki
城中區	ig[tw vs[ku qu[ki
城子河區	ig[tw zi[lh he[dk qu[ki
赤壁市	ii[ty bi[ut ui[wj
赤城縣	ii[ty ig[tw xm[qs
赤峰市	ii[ty fg[uw ui[wj
赤坎區	ii[ty kj[td qu[ki
茌平區	ii[cr pk[hb qu[ki
赤水市	ii[ty uv[uu ui[wj
池州市	ii[dy vz[dp ui[wj
崇川區	is[ug ir[pu qu[ki
崇禮區	is[ug li[uv qu[ki
崇明區	is[ug mk[oo qu[ki
重慶市	is[ph qk[gd ui[wj
崇仁縣	is[ug rf[re xm[qs
崇信縣	is[ug xb[ry xm[qs
崇陽縣	is[ug yh[eo xm[qs
崇義縣	is[ug yi[di xm[qs
崇州市	is[ug vz[dp ui[wj
崇左市	is[ug zo[ug ui[wj
楚雄市	iu[ap xs[uv ui[wj
楚雄彝族自治州	iu[ap xs[uv yi[vm zu[fr zi[pm vi[ds vz[dp
滁州市	iu[de vz[dp ui[wj
川匯區	ir[pu hv[dk qu[ki
船山區	ir[vj uj[uk qu[ki
船營區	ir[vj yk[ck qu[ki
淳安縣	iy[dw an[gn xm[qs
淳化縣	iy[dw hx[rq xm[qs
慈利縣	ci[bx li[hd xm[qs
慈溪市	ci[bx xi[da ui[wj
磁縣	ci[eb xm[qs
從化區	cs[rr hx[rq qu[ki
從江縣	cs[rr jl[dg xm[qs
叢臺區	cs[rh td[sk qu[ki
翠屏區	cv[xw pk[ub qu[ki
措美縣	co[fg mw[bw xm[qs
錯那縣	co[jg na[ve xm[qs
措勤縣	co[fg qb[nl xm[qs
大安區	da[hr an[gn qu[ki
大安市	da[hr an[gn ui[wj
達坂城區	da[dz bj[tp ig[tw qu[ki
大埔縣	da[hr bu[tf xm[qs
大廠回族自治縣	da[hr ih[hp hv[wk zu[fr zi[pm vi[ds xm[qs
大城縣	da[hr ig[tw xm[qs
達川區	da[dz ir[pu qu[ki
大東區	da[hr ds[qx qu[ki
大渡口區	da[hr du[dg kz[uv qu[ki
達爾罕茂明安聯合旗	da[dz er[dx hj[gg mc[cw mk[oo an[gn lm[eb he[rh qi[fr
大方縣	da[hr fh[dw xm[qs
大豐區	da[hr fg[su qu[ki
大觀區	da[hr gr[yj qu[ki
大關縣	da[hr gr[bt xm[qs
大化瑤族自治縣	da[hr hx[rq yc[wa zu[fr zi[pm vi[ds xm[qs
大箐山縣	da[hr jk[vf uj[uk xm[qs
達拉特旗	da[dz la[fl te[nt qi[fr
大理白族自治州	da[hr li[wo bd[po zu[fr zi[pm vi[ds vz[dp
大理市	da[hr li[wo ui[wj
大荔縣	da[hr li[cl xm[qs
大連市	da[hr lm[iz ui[wj
大名縣	da[hr mk[xk xm[qs
大寧縣	da[hr nk[gd xm[qs
大慶市	da[hr qk[gd ui[wj
達日縣	da[dz ri[wh xm[qs
大石橋市	da[hr ui[ek qn[ap ui[wj
大田縣	da[hr tm[wu xm[qs
大通回族土族自治縣	da[hr ts[sz hv[wk zu[fr tu[uh zu[fr zi[pm vi[ds xm[qs
大同區	da[hr ts[kh qu[ki
大通區	da[hr ts[sz qu[ki
大同市	da[hr ts[kh ui[wj
大窪區	da[hr wa[dt qu[ki
大武口區	da[hr wu[hv kz[uv qu[ki
大悟縣	da[hr wu[xw xm[qs
大祥區	da[hr xl[uy qu[ki
大新縣	da[hr xb[lj xm[qs
大興安嶺地區	da[hr xk[xb an[gn lk[ur di[ty qu[ki
大興區	da[hr xk[xb qu[ki
大姚縣	da[hr yc[nv xm[qs
大冶市	da[hr ye[ds ui[wj
大邑縣	da[hr yi[kb xm[qs
大英縣	da[hr yk[ck xm[qs
大餘縣	da[hr yu[re xm[qs
達州市	da[dz vz[dp ui[wj
大竹縣	da[hr vu[rr xm[qs
達孜區	da[dz zi[zw qu[ki
大足區	da[hr zu[kv qu[ki
岱山縣	dd[ru uj[uk xm[qs
代縣	dd[rq xm[qs
岱嶽區	dd[ru yt[qu qu[ki
丹巴縣	dj[kw ba[ku xm[qs
鄲城縣	dj[be ig[tw xm[qs
丹東市	dj[kw ds[qx ui[wj
丹鳳縣	dj[kw fg[jy xm[qs
丹江口市	dj[kw jl[dg kz[uv ui[wj
丹稜縣	dj[kw lk[at xm[qs
丹徒區	dj[kw tu[rz qu[ki
丹陽市	dj[kw yh[eo ui[wj
丹寨縣	dj[kw vd[ga xm[qs
儋州市	dj[rd vz[dp ui[wj
宕昌縣	dh[ge ih[oo xm[qs
碭山縣	dh[ev uj[uk xm[qs
當塗縣	dh[xx tu[dr xm[qs
當雄縣	dh[xx xs[uv xm[qs
當陽市	dh[xx yh[eo ui[wj
稻城縣	dc[ha ig[tw xm[qs
道孚縣	dc[bz fu[az xm[qs
道里區	dc[bz li[ot qu[ki
道外區	dc[bz wd[xb qu[ki
道縣	dc[bz xm[qs
道真仡佬族苗族自治縣	dc[bz vf[uj ge[rr lc[rt zu[fr mn[ct zu[fr zi[pm vi[ds xm[qs
德安縣	de[ru an[gn xm[qs
德保縣	de[ru bc[rk xm[qs
德昌縣	de[ru ih[oo xm[qs
德城區	de[ru ig[tw qu[ki
德格縣	de[ru ge[aw xm[qs
德宏傣族景頗族自治州	de[ru hs[gu dd[rs zu[fr jk[ow po[py zu[fr zi[pm vi[ds vz[dp
