阿多諾	aa[ek do[xx no[yc
阿爾都塞	aa[ek er[dx du[te sd[gt
阿加德米	aa[ek jx[lk de[ru mi[ba
阿賴耶識	aa[ek ld[hd ye[ee ui[yk
阿里斯托勒斯	aa[ek li[ot si[qj to[fp le[gl si[qj
阿摩尼阿斯	aa[ek mo[gf ni[ub aa[ek si[qj
阿摩尼阿斯薩卡斯	aa[ek mo[gf ni[ub aa[ek si[qj sa[ce ka[ub si[qj
阿那克薩戈拉	aa[ek na[ve ke[ge sa[ce ge[qp la[fl
阿那克西曼德	aa[ek na[ve ke[ge xi[hk mj[os de[ru
阿納克西曼德	aa[ek na[sk ke[ge xi[hk mj[os de[ru
阿那克西美尼	aa[ek na[ve ke[ge xi[hk mw[bw ni[ub
阿納克西美尼	aa[ek na[sk ke[ge xi[hk mw[bw ni[ub
阿那克西米尼	aa[ek na[ve ke[ge xi[hk mi[ba ni[ub
阿菩黎阿黎	aa[ek pu[cl li[hr aa[ek li[hr
阿屯	aa[ek ty[hk
愛比克泰德	ai[au bi[bb ke[ge td[su de[ru
愛非斯	ai[au fw[su si[qj
艾菲索斯	ai[ci fw[cf so[uy si[qj
愛力	ai[au li[vp
愛利亞派	ai[au li[hd ya[hy pd[dp
愛利亞學派	ai[au li[hd ya[hy xt[xz pd[dp
艾思奇	ai[ci si[tx qi[dk
愛無尋差	ai[au wu[ee xy[xc ia[yg
愛智	ai[au vi[uo
安般守意	an[gn bj[vj uz[gc yi[lx
暗極則光	an[ol ji[aj ze[bd gl[xe
安年柯夫	an[gn nm[rn ke[ak fu[er
安貧樂道	an[gn pb[fb le[px dc[bz
安時處順	an[gn ui[oc iu[wb uy[iy
安世高	an[gn ui[nv gc[wk
安提斯泰尼	an[gn ti[fo si[qj td[su ni[ub
安性樂命	an[gn xk[xp le[px mk[rh
案兆察跡	an[ga vc[eu ia[gx ji[yz
奧伏赫變	ao[pd fu[rq he[tt bm[yy
奧古斯丁	ao[pd gu[uk si[qj dk[hu
奧勒留	ao[pd le[gl lq[pt
八不中道	ba[pd bu[eu vs[ku dc[bz
罷黜百家	ba[st iu[hi bd[eo jx[gu
巴枯寧	ba[ku ku[ag nk[gd
巴曼尼得斯篇	ba[ku mj[os ni[ub de[ro si[qj pm[vh
巴門尼德	ba[ku mf[du ni[ub de[ru
巴門尼德畢達哥拉斯	ba[ku mf[du ni[ub de[ru bi[bu da[dz ge[kk la[fl si[qj
八識	ba[pd ui[yk
八正	ba[pd vg[hv
八正道	ba[pd vg[hv dc[bz
百代同道	bd[eo dd[rq ts[kh dc[bz
白狗黑	bd[po gz[qb hw[sd
捭闔術	bd[fb he[mt uu[ad
白馬非馬	bd[po ma[vv fw[su ma[vv
百姓日用之學	bd[eo xk[np ri[wh ys[ou vi[dv xt[xz
百戰不殆	bd[eo vj[bg bu[eu dd[hs
班固	bj[wd gu[wg
般舟三昧	bj[vj vz[pk sj[hh mw[oh
抱法處勢	bc[fb fa[dt iu[wb ui[fl
葆光	bc[cr gl[xe
保教非尊孔	bc[rk jn[tw fw[su zy[bc ks[zv
鮑敬言	bc[yb jk[cw yj[we
抱朴子	bc[fb pu[ab zi[lh
包世臣	bc[bk ui[nv if[ku
鮑威爾	bc[yb ww[wh er[dx
葆真	bc[cr vf[uj
被繼承	bw[yp ji[sm ig[lu
貝萊	bw[kr ld[cl
被譽為	bw[yp yu[xy ww[dl
本根	bf[ah gf[ag
本寂	bf[ah ji[gu
本覺	bf[ah jt[xj
本末	bf[ah mo[ha
本然	bf[ah rj[xd
本始	bf[ah ui[ns
本體	bf[ah ti[ra
本無	bf[ah wu[ee
