哀江頭	ai[wk jl[dg tz[dd
唉乃一聲山水綠	ai[ks nd[vp yi[hh ug[um uj[uk uv[uu lv[sx
哀弱羽之飄零	ai[wk ro[gg yu[xx vi[dv pn[xf lk[yr
哀王孫	ai[wk wh[su sy[zx
哀哉王孫慎勿疏	ai[wk zd[tk wh[su sy[zx uf[xu wu[bp uu[pw
黯黯見臨洮	an[hl an[hl jm[ke lb[uv tc[dv
安禪製毒龍	an[gn ij[ub vi[nd du[fm ls[yp
安得至老不更歸	an[gn de[ro vi[ht lc[tb bu[eu gg[ho gv[ux
安能摧眉折腰事權貴	an[gn ng[sb cv[fu mw[mm ve[fj yc[ox ui[hk qr[ay gv[vb
安能以此上論列	an[gn ng[sb yi[sr ci[vb uh[bh ly[yr lp[hd
安知峰壑今來變	an[gn vi[uk fg[uw he[bt jb[rd ld[hm bm[yy
安置妥帖平不頗	an[gn vi[su to[an tp[jb pk[hb bu[eu po[py
罷官昨日今如何	ba[st gr[gu zo[ov ri[wh jb[rd ru[nk he[rk
罷歸無舊業	ba[st gv[ux wu[ee jq[uo ye[ub
把劍覓徐君	ba[fb jm[rd mi[aj xu[rr jy[xk
拔劍四顧心茫然	ba[fu jm[rd si[we gu[iy xb[dv mh[cd rj[xd
芭蕉葉大梔子肥	ba[cb jn[cv ye[ku da[hr vi[ap zi[lh fw[ob
把酒話桑麻	ba[fb jq[dy hx[yq sh[ya ma[ga
巴人訟芋田	ba[ku rf[pd ss[yb yu[ce tm[wu
罷如江海凝清光	ba[st ru[nk jl[dg hd[dr nk[db qk[df gl[xe
巴山道中除夜有懷	ba[ku uj[uk dc[bz vs[ku iu[er ye[wr yz[uo hk[xb
灞上秋居	ba[dy uh[bh qq[hh ju[ug
灞原風雨定	ba[dy yr[ib fg[ji yu[hk dk[gp
八月蝴蝶來	ba[pd yt[ke hu[ig dp[in ld[hm
八月湖水平	ba[pd yt[ke hu[dg uv[uu pk[hb
八月十五夜贈張功曹	ba[pd yt[ke ui[hu wu[hu ye[wr zg[bb vh[gi gs[gl cc[ho
八月蕭關道	ba[pd yt[ke xn[cx gr[bt dc[bz
八陣圖	ba[pd vf[ei tu[ww
白波九道流雪山	bd[po bo[dp jq[pv dc[bz lq[dw xt[yx uj[uk
百步九折縈巖巒	bd[eo bu[vu jq[pv ve[fj yk[cy yj[ue lr[yu
白帝城邊古木疏	bd[po di[lj ig[tw bm[lz gu[uk mu[ub uu[pw
白髮悲花落	bd[po fa[vy bw[fx hx[cr lo[cd
白髮催年老	bd[po fa[vy cv[ru nm[rn lc[tb
白骨亂蓬蒿	bd[po gu[ko lr[qv pg[cw hc[cw
白居易	bd[po ju[ug yi[ob
白狼河北音書斷	bd[po lh[ql he[dk bw[ub yb[lo uu[vv dr[mj
白馬嚼齧黃金勒	bd[po ma[vv jn[ka np[kv hl[gy jb[rw le[gl
白門寥落意多違	bd[po mf[du ln[gx lo[cd yi[lx do[xx ww[wz
百年都是幾多時	bd[eo nm[rn dz[te ui[op ji[pv do[xx ui[oc
百年多病獨登臺	bd[eo nm[rn do[xx bk[bh du[qi dg[dd td[sk
白日登山望烽火	bd[po ri[wh dg[dd uj[uk wh[ww fg[hw ho[dp
白日放歌須縱酒	bd[po ri[wh fh[fw ge[kd xu[py zs[sr jq[dy
白日落梁州	bd[po ri[wh lo[cd ll[da vz[dp
白日依山盡	bd[po ri[wh yi[ry uj[uk jb[ud
白首臥松雲	bd[po uz[be wo[kb ss[ab yy[es
白水繞東城	bd[po uv[uu rc[sq ds[qx ig[tw
白頭宮女在	bd[po tz[dd gs[gk nv[vp zd[ut
白頭搔更短	bd[po tz[dd sc[fy gg[ho dr[ud
白雪歌送武判官歸京	bd[po xt[yx ge[kd ss[bz wu[hv pj[bd gr[gu gv[ux jk[wk
