阿保之功	aa[ek bc[rk vi[dv gs[gl
阿保之勞	aa[ek bc[rk vi[dv lc[cl
阿鼻地獄	aa[ek bi[zt di[ty yu[qy
阿鼻叫喚	aa[ek bi[zt jn[kv hr[kd
阿狗阿貓	aa[ek gz[qb aa[ek mc[qc
阿姑阿翁	aa[ek gu[ng aa[ek wg[bx
阿嬌金屋	aa[ek jn[np jb[rw wu[uh
阿匼取容	aa[ek ke[[ qu[ey rs[xr
阿郎雜碎	aa[ek lh[le za[ja sv[ew
阿貓阿狗	aa[ek mc[qc aa[ek gz[qb
阿娜多姿	aa[ek na[nv do[xx zi[dn
阿娜嫵媚	aa[ek na[nv wu[ne mw[nm
阿毗地獄	aa[ek pi[tb di[ty yu[qy
阿平絕倒	aa[ek pk[hb jt[sd dc[rh
阿婆生兒子	aa[ek po[dn ug[pf er[pv zi[lh
阿世徇俗	aa[ek ui[nv xy[rb su[rb
阿順取容	aa[ek uy[iy qu[ey rs[xr
阿私所好	aa[ek si[hs so[pj hc[nz
阿私下比	aa[ek si[hs xx[hb bi[bb
阿魏無真	aa[ek ww[hg wu[ee vf[uj
阿意苟合	aa[ek yi[lx gz[cb he[rh
阿旨順情	aa[ek vi[bo uy[iy qk[xf
哀哀父母	ai[wk ai[wk fu[bi mu[vv
挨挨搶搶	ai[fs ai[fs ql[fr ql[fr
哀哀欲絕	ai[wk ai[wk yu[bd jt[sd
挨挨拶拶	ai[fs ai[fs zj[fv zj[fv
哀兵必勝	ai[wk bk[qb bi[xp ug[op
愛博而情不專	ai[au bo[uf er[ek qk[xf bu[eu vr[ev
愛不忍釋	ai[au bu[eu rf[dx ui[py
愛不釋手	ai[au bu[eu ui[py uz[su
愛財不愛命	ai[au cd[bc bu[eu ai[au mk[rh
愛才憐弱	ai[au cd[hu lm[xr ro[gg
愛才如渴	ai[au cd[hu ru[nk ke[do
愛財如命	ai[au cd[bc ru[nk mk[rh
愛才若渴	ai[au cd[hu ro[cu ke[do
挨打受罵	ai[fs da[fd uz[ay ma[km
挨打受氣	ai[fs da[fd uz[ay qi[rh
愛戴高帽子	ai[au dd[tt gc[wk mc[jo zi[lh
挨餓受凍	ai[fs ee[up uz[ay ds[dq
哀而不傷	ai[wk er[ek bu[eu uh[rr
艾發衰容	ai[ci fa[vy uk[wk rs[xr
愛非其道	ai[au fw[su qi[cb dc[bz
挨風緝縫	ai[fs fg[ji ji[sk fg[sw
愛富嫌貧	ai[au fu[gh xm[nb pb[fb
哀感天地	ai[wk gj[wx tm[hd di[ty
哀感頑豔	ai[wk gj[wx wj[ey yj[fd
哀感中年	ai[wk gj[wx vs[ku nm[rn
哀告賓服	ai[wk gc[nk bb[gq fu[oe
愛國如家	ai[au go[ww ru[nk jx[gu
愛國統一戰線	ai[au go[ww ts[sw yi[hh vj[bg xm[sj
愛鶴失眾	ai[au he[gn ui[pe vs[rr
愛河永浴	ai[au he[dk ys[dv yu[db
哀鴻遍地	ai[wk hs[dn bm[hz di[ty
哀鴻遍野	ai[wk hs[dn bm[hz ye[oy
哀鴻滿路	ai[wk hs[dn mj[dc lu[zw
哀毀骨立	ai[wk hv[jj gu[ko li[lh
哀毀瘠立	ai[wk hv[jj ji[bu li[lh
挨家挨戶	ai[fs jx[gu ai[fs hu[du
挨家按戶	ai[fs jx[gu an[fg hu[du
挨肩並足	ai[fs jm[ho bk[bk zu[kv
挨肩擦膀	ai[fs jm[ho ca[fg bh[ol
挨肩擦背	ai[fs jm[ho ca[fg bw[bo
捱肩擦背	ai[fi jm[ho ca[fg bw[bo
挨肩擦臉	ai[fs jm[ho ca[fg lm[or
挨肩搭背	ai[fs jm[ho da[fc bw[bo
挨肩疊背	ai[fs jm[ho dp[yq bw[bo
挨肩疊足	ai[fs jm[ho dp[yq zu[kv
僾見愾聞	ai[[ jm[ke kd[xq wf[me
愛叫的狗不咬人	ai[au jn[kv de[bb gz[qb bu[eu yc[kl rf[pd
哀矜懲創	ai[wk jb[yr ig[rx il[rd
哀矜勿喜	ai[wk jb[yr wu[bp xi[uk
愛口識羞	ai[au kz[uv ui[yk xq[yi
礙口識羞	ai[eo kz[uv ui[yk xq[yi
愛老慈幼	ai[au lc[tb ci[bx yz[yl
哀梨並剪	ai[wk li[ha bk[bk jm[bd
