阿爾尼	aa[ek er[dx ni[ub
阿凡提妻	aa[ek fj[jd ti[fo qi[hn
阿濟赤	aa[ek ji[dw ii[ty
阿泉	aa[ek qr[bu
哀牢山三十六劍	ai[wk lc[gn uj[uk sj[hh ui[hu lq[wb jm[rd
矮老者	ai[uh lc[tb ve[to
安大娘	an[gn da[hr nl[nl
安奉日	an[gn fg[sf ri[wh
安健剛	an[gn jm[ry gh[kd
安劍清	an[gn jm[rd qk[df
黯然銷魂掌	an[hl rj[xd xn[jx hy[eg vh[xf
暗噬菌	an[ol ui[kv jy[cw
安提督	an[gn ti[fo du[um
安小慧	an[gn xn[ub hv[fx
敖彪	ao[fw bn[hp
獒口奪杖	ao[fq kz[uv do[dc vh[ah
八方歸元	ba[pd fh[dw gv[ux yr[ee
八卦金刀	ba[pd gx[tb jb[rw dc[vp
八卦門	ba[pd gx[tb mf[du
八卦游龍掌	ba[pd gx[tb yz[df ls[yp vh[xf
八卦遊身掌	ba[pd gx[tb yz[df uf[pu vh[xf
八極門	ba[pd ji[aj mf[du
八極拳	ba[pd ji[aj qr[bf
八口山銘	ba[pd kz[uv uj[uk mk[jx
巴郎星	ba[ku lh[le xk[op
八十一路三節棍	ba[pd ui[hu yi[hh lu[zw sj[hh jp[ce gy[ao
八十一路五虎刀	ba[pd ui[hu yi[hh lu[zw wu[hu hu[hj dc[vp
巴泰	ba[ku td[su
八仙劍法	ba[pd xm[ru jm[rd fa[dt
巴顏法師	ba[ku yj[ly fa[dt ui[uh
八陣八卦掌	ba[pd vf[ei ba[pd gx[tb vh[xf
白阿繡	bd[po aa[ek xq[sh
白二	bd[po er[hh
白龜壽	bd[po gv[do uz[fc
白寒楓	bd[po hj[gd fg[af
白寒松	bd[po hj[gd ss[ab
白虎跳澗	bd[po hu[hj tn[zv jm[dm
百花錯拳	bd[eo hx[cr co[jg qr[bf
白臉人	bd[po lm[or rf[pd
白馬嘯西風	bd[po ma[vv xn[kx xi[hk fg[ji
白蟒鞭	bd[po mh[ic bm[gr
白眉上人	bd[po mw[mm uh[bh rf[pd
百魔堂	bd[eo mo[gg th[xt
百年煉獄	bd[eo nm[rn lm[hq yu[qy
白少堂	bd[po uc[xp th[xt
百勝軟鞭	bd[eo ug[op rr[id bm[gr
白世鏡	bd[po ui[nv jk[jl
白駝雪山掌	bd[po to[mg xt[yx uj[uk vh[xf
白萬劍	bd[po wj[hv jm[rd
白玉京	bd[po yu[wd jk[wk
白玉魔丐	bd[po yu[wd mo[gg gd[xv
白雲出岫	bd[po yy[es iu[ck xq[uy
百丈飛瀑	bd[eo vh[hi fw[vp pu[do
白振	bd[po vf[fi
白自在	bd[po zi[pm zd[ut
班淑嫻	bj[wd uu[du xm[nm
棒打狗頭	bh[as da[fd gz[qb tz[dd
棒打雙犬	bh[as da[fd ul[yy qr[dd
傍花拂柳	bh[rl hx[cr fu[ff lq[ap
抱殘式	bc[fb cj[hj ui[qg
鮑承先	bc[yb ig[lu xm[ne
鮑大楚	bc[yb da[hr iu[ap
寶靈拳	bc[gw lk[xh qr[bf
鮑千靈	bc[yb qm[pu lk[xh
寶樹	bc[gw uu[ay
暴退	bc[og tv[gz
豹尾腳	bc[pb ww[um jn[ot
寶象和尚	bc[gw xl[dk he[hk uh[xk
暴戰雞	bc[og vj[bg ji[yn
暴戰野豬	bc[og vj[bg ye[oy vu[qt
北斗大陣	bw[ub dz[du da[hr vf[ei
北斗封魔陣	bw[ub dz[du fg[tc mo[gg vf[ei
貝海石	bw[kr hd[dr ui[ek
貝錦儀	bw[kr jb[jb yi[rd
貝人龍	bw[kr rf[pd ls[yp
北漁拓跋氏	bw[ub yu[dy to[fe ba[zu ui[pq
敝幫	bi[bw bh[fj
敝盟	bi[bw mg[om
敝派	bi[bw pd[dp
筆貼式	bi[vm tp[bb ui[qg
辟邪劍法	bi[ul xp[ye jm[rd fa[dt
碧血劍	bi[we xt[pm jm[rd
碧淵騰蛟	bi[we yr[dp tg[ob jn[il
碧針清掌	bi[we vf[ju qk[df vh[xf
變異角鷹	bm[yy yi[kc jn[do yk[gn
賓頭盧尊者	bb[gq tz[dd lu[bu zy[bc ve[to
冰河倒瀉	bk[du he[dk dc[rh xp[dg
冰河開凍	bk[du he[dk kd[hc ds[dq
