哀而不傷	ai[wk er[ek bu[eu uh[rr
哀公問	ai[wk gs[bs wf[mk
哀公問社於宰我	ai[wk gs[bs wf[mk ue[ut yu[eu zd[gl wo[pf
哀公問於有若曰	ai[wk gs[bs wf[mk yu[eu yz[uo ro[cu yt[wh
哀公問曰	ai[wk gs[bs wf[mk yt[wh
愛人	ai[au rf[pd
愛之	ai[au vi[dv
愛之慾其生	ai[au vi[dv yu[bd qi[cb ug[pf
安見方六七十	an[gn jm[ke fh[dw lq[wb qi[hv ui[hu
安女安則為之	an[gn nv[vp an[gn ze[bd ww[dl vi[dv
安無傾	an[gn wu[ee qk[rb
奡盪舟	ao[[ dh[cd vz[pk
八佾第三	ba[pd yi[rb di[vg sj[hh
八佾舞於庭	ba[pd yi[rb wu[rx yu[eu tk[gq
霸諸侯	ba[yg vu[yt hz[rv
拜而受之	bd[fh er[ek uz[ay vi[dv
百工居肆以成其事	bd[eo gs[hu ju[ug si[iy yi[sr ig[wv qi[cb ui[hk
百官之富	bd[eo gr[gu vi[dv fu[gh
百官總己以聽於冢宰	bd[eo gr[gu zs[bx ji[kv yi[sr tk[kj yu[eu vs[gu zd[gl
百物生焉	bd[eo wu[nb ug[pf yj[hh
拜下	bd[fh xx[hb
百姓不足	bd[eo xk[np bu[eu zu[kv
百姓有過	bd[eo xk[np yz[uo go[cz
百姓足	bd[eo xk[np zu[kv
版者	bj[pp ve[to
邦分崩離析	bh[fe ff[bd bg[uo li[wk xi[aj
邦君樹塞門	bh[fe jy[xk uu[ay sd[gt mf[du
邦君為兩君之好	bh[fe jy[xk ww[dl ll[hk jy[xk vi[dv hc[nz
邦君之妻	bh[fe jy[xk vi[dv qi[hn
邦人稱之曰君夫人	bh[fe rf[pd ig[hd vi[dv yt[wh jy[xk fu[er rf[pd
邦無道	bh[fe wu[ee dc[bz
邦無道如矢	bh[fe wu[ee dc[bz ru[nk ui[rd
邦無道則可卷而懷之	bh[fe wu[ee dc[bz ze[bd ke[dk jr[be er[ek hk[xb vi[dv
邦有道	bh[fe yz[uo dc[bz
邦有道如矢	bh[fe yz[uo dc[bz ru[nk ui[rd
邦有道則仕	bh[fe yz[uo dc[bz ze[bd ui[ru
邦曰寡小君	bh[fe yt[wh gx[gf xn[ub jy[xk
暴虎馮河	bc[og hu[hj pk[dm he[dk
飽食終日	bc[ub ui[rl vs[sw ri[wh
奔而殿	bf[du er[ek dm[uj
本立而道生	bf[ah li[lh er[ek dc[bz ug[pf
本之則無	bf[ah vi[dv ze[bd wu[ee
必變	bi[xp bm[yy
必變色而作	bi[xp bm[yy se[db er[ek zo[rv
必表而出之	bi[xp bn[fy er[ek iu[ck vi[dv
必不得已而去	bi[xp bu[eu de[ro yi[kv er[ek qu[ts
必察焉	bi[xp ia[gx yj[hh
裨諶草創之	bi[yb if[yq cc[co il[rd vi[dv
必畜之	bi[xp iu[wt vi[dv
鄙夫可與事君也與哉	bi[ke fu[er ke[dk yu[hv ui[hk jy[xk ye[vu yu[hv zd[tk
必覆命曰	bi[xp fu[ro mk[rh yt[wh
比干諫而死	bi[bb gj[hu jm[yh er[ek si[hx
比及三年	bi[bb ji[pv sj[hh nm[rn
必齊如也	bi[xp qi[wp ru[nk ye[vu
必趨	bi[xp qu[zd
必殺之	bi[xp ua[ia vi[dv
必世而後仁	bi[xp ui[nv er[ek hz[pk rf[re
必使反之	bi[xp ui[rh fj[py vi[dv
必失之	bi[xp ui[pe vi[dv
必熟而薦之	bi[xp uu[wd er[ek jm[cu vi[dv
必文	bi[xp wf[wi
必聞其政	bi[xp wf[me qi[cb vg[hw
必先利其器	bi[xp xm[ne li[hd qi[cb qi[kq
必偃	bi[xp yj[rk
必也狂狷乎	bi[xp ye[vu kl[qw jr[qk hu[pb
必也臨事而懼	bi[xp ye[vu lb[uv ui[hk er[ek ju[xj
必也親喪乎	bi[xp ye[vu qb[la sh[ty hu[pb
必也射乎	bi[xp ye[vu ue[uc hu[pb
必也聖乎	bi[xp ye[vu ug[yt hu[pb
必也使無訟乎	bi[xp ye[vu ui[rh wu[ee ss[yb hu[pb
必也正名乎	bi[xp ye[vu vg[hv mk[xk hu[pb
必以貌	bi[xp yi[sr mc[pb
必有近憂	bi[xp yz[uo jb[jz yz[xy
必有可觀者焉	bi[xp yz[uo ke[dk gr[yj ve[to yj[hh
必有鄰	bi[xp yz[uo lb[re
必有明衣	bi[xp yz[uo mk[oo yi[wy
必有寢衣	bi[xp yz[uo qb[gd yi[wy
必有我師焉	bi[xp yz[uo wo[pf ui[uh yj[hh
鄙哉	bi[ke zd[tk
彼哉	bi[rp zd[tk
